position,title
Q34071,President
Q26353,Vice President
Q110193607,Minister of Agriculture and Livestock
Q110194083,Minister of Children and Adolescents
Q110193564,Minister of Education and Sciences
Q110194077,Minister of the Environment and Sustainable Development
Q104855090,Minister of Finance
Q18204383,Minister of Foreign Affairs
Q110193589,Minister of Health and Social Affairs
Q110193595,Minister of Industry and Commerce
Q110194081,Minister of Information and Communication Technologies
Q110193591,Minister of the Interior
Q110193576,Minister of Justice
Q110193612,"Minister of Labour, Employment and Social Security"
Q110193569,Minister of National Defence
Q110193618,Minister of Public Works and Communications
Q110193988,Minister of the Social Cabinet
Q110193560,Minister of Social Development
Q110194079,"Minister of Urbanism, Housing and Habitat"
Q110193584,Minister of Women
Q110194212,Attorney General
Q110194123,Speaker of the Chamber of Deputies
Q110194118,President of the Senate
Q110194247,President of the Central Bank
